# IconBaker prototype manifest — ticket 86camyvwn
# subject|variant|size|file|verts|tris|renderPath|device
iron_ore_pile|A_hero34_keyrim_bgNone|64|iron_ore_pile__A_hero34_keyrim_bgNone__64.png|72|24|SubmitRenderRequest|Direct3D12
iron_ore_pile|A_hero34_keyrim_bgNone|128|iron_ore_pile__A_hero34_keyrim_bgNone__128.png|72|24|SubmitRenderRequest|Direct3D12
iron_ore_pile|B_hero34_keyrim_bgWell|64|iron_ore_pile__B_hero34_keyrim_bgWell__64.png|72|24|SubmitRenderRequest|Direct3D12
iron_ore_pile|B_hero34_keyrim_bgWell|128|iron_ore_pile__B_hero34_keyrim_bgWell__128.png|72|24|SubmitRenderRequest|Direct3D12
iron_ore_pile|C_side_flat_bgNone|64|iron_ore_pile__C_side_flat_bgNone__64.png|72|24|SubmitRenderRequest|Direct3D12
iron_ore_pile|C_side_flat_bgNone|128|iron_ore_pile__C_side_flat_bgNone__128.png|72|24|SubmitRenderRequest|Direct3D12
iron_ore_pile|D_hero34_keyrim_bgWarm|64|iron_ore_pile__D_hero34_keyrim_bgWarm__64.png|72|24|SubmitRenderRequest|Direct3D12
iron_ore_pile|D_hero34_keyrim_bgWarm|128|iron_ore_pile__D_hero34_keyrim_bgWarm__128.png|72|24|SubmitRenderRequest|Direct3D12
iron_ore_pile_rust|A_hero34_keyrim_bgNone|64|iron_ore_pile_rust__A_hero34_keyrim_bgNone__64.png|72|24|SubmitRenderRequest|Direct3D12
iron_ore_pile_rust|A_hero34_keyrim_bgNone|128|iron_ore_pile_rust__A_hero34_keyrim_bgNone__128.png|72|24|SubmitRenderRequest|Direct3D12
iron_ore_pile_rust|B_hero34_keyrim_bgWell|64|iron_ore_pile_rust__B_hero34_keyrim_bgWell__64.png|72|24|SubmitRenderRequest|Direct3D12
iron_ore_pile_rust|B_hero34_keyrim_bgWell|128|iron_ore_pile_rust__B_hero34_keyrim_bgWell__128.png|72|24|SubmitRenderRequest|Direct3D12
iron_ore_pile_rust|C_side_flat_bgNone|64|iron_ore_pile_rust__C_side_flat_bgNone__64.png|72|24|SubmitRenderRequest|Direct3D12
iron_ore_pile_rust|C_side_flat_bgNone|128|iron_ore_pile_rust__C_side_flat_bgNone__128.png|72|24|SubmitRenderRequest|Direct3D12
iron_ore_pile_rust|D_hero34_keyrim_bgWarm|64|iron_ore_pile_rust__D_hero34_keyrim_bgWarm__64.png|72|24|SubmitRenderRequest|Direct3D12
iron_ore_pile_rust|D_hero34_keyrim_bgWarm|128|iron_ore_pile_rust__D_hero34_keyrim_bgWarm__128.png|72|24|SubmitRenderRequest|Direct3D12
iron_ore_veined|A_hero34_keyrim_bgNone|64|iron_ore_veined__A_hero34_keyrim_bgNone__64.png|384|128|SubmitRenderRequest|Direct3D12
iron_ore_veined|A_hero34_keyrim_bgNone|128|iron_ore_veined__A_hero34_keyrim_bgNone__128.png|384|128|SubmitRenderRequest|Direct3D12
iron_ore_veined|B_hero34_keyrim_bgWell|64|iron_ore_veined__B_hero34_keyrim_bgWell__64.png|384|128|SubmitRenderRequest|Direct3D12
iron_ore_veined|B_hero34_keyrim_bgWell|128|iron_ore_veined__B_hero34_keyrim_bgWell__128.png|384|128|SubmitRenderRequest|Direct3D12
iron_ore_veined|C_side_flat_bgNone|64|iron_ore_veined__C_side_flat_bgNone__64.png|384|128|SubmitRenderRequest|Direct3D12
iron_ore_veined|C_side_flat_bgNone|128|iron_ore_veined__C_side_flat_bgNone__128.png|384|128|SubmitRenderRequest|Direct3D12
iron_ore_veined|D_hero34_keyrim_bgWarm|64|iron_ore_veined__D_hero34_keyrim_bgWarm__64.png|384|128|SubmitRenderRequest|Direct3D12
iron_ore_veined|D_hero34_keyrim_bgWarm|128|iron_ore_veined__D_hero34_keyrim_bgWarm__128.png|384|128|SubmitRenderRequest|Direct3D12
iron_ingot_proto|A_hero34_keyrim_bgNone|64|iron_ingot_proto__A_hero34_keyrim_bgNone__64.png|40|20|SubmitRenderRequest|Direct3D12
iron_ingot_proto|A_hero34_keyrim_bgNone|128|iron_ingot_proto__A_hero34_keyrim_bgNone__128.png|40|20|SubmitRenderRequest|Direct3D12
iron_ingot_proto|B_hero34_keyrim_bgWell|64|iron_ingot_proto__B_hero34_keyrim_bgWell__64.png|40|20|SubmitRenderRequest|Direct3D12
iron_ingot_proto|B_hero34_keyrim_bgWell|128|iron_ingot_proto__B_hero34_keyrim_bgWell__128.png|40|20|SubmitRenderRequest|Direct3D12
iron_ingot_proto|C_side_flat_bgNone|64|iron_ingot_proto__C_side_flat_bgNone__64.png|40|20|SubmitRenderRequest|Direct3D12
iron_ingot_proto|C_side_flat_bgNone|128|iron_ingot_proto__C_side_flat_bgNone__128.png|40|20|SubmitRenderRequest|Direct3D12
iron_ingot_proto|D_hero34_keyrim_bgWarm|64|iron_ingot_proto__D_hero34_keyrim_bgWarm__64.png|40|20|SubmitRenderRequest|Direct3D12
iron_ingot_proto|D_hero34_keyrim_bgWarm|128|iron_ingot_proto__D_hero34_keyrim_bgWarm__128.png|40|20|SubmitRenderRequest|Direct3D12
